sporing_trafikk,sporing,spordybde,asfalt,veibredde,posisjon
2.2000000000000006,3.3000000000000007,9.0,A1,3.3,1246.4
2.1999999999999993,3.299999999999999,8.8,A1,3.3,1266.1
2.4666666666666672,3.700000000000001,8.1,A1,3.3,1285.9
2.266666666666667,3.4000000000000004,8.1,A1,3.3,1305.7
2.6666666666666665,4.0,8.0,A1,3.3,1325.6
2.2000000000000006,3.3000000000000007,8.6,A1,3.3,1345.4
2.3333333333333335,3.5,9.2,A1,3.3,1365.1
2.6666666666666665,4.0,7.9,A1,3.3,1385.0
2.4666666666666672,3.700000000000001,5.6,A1,3.3,1404.9
1.7333333333333332,2.5999999999999996,4.0,A1,3.3,1424.8
3.1999999999999993,4.799999999999999,3.4,A1,3.3,1444.7
2.8000000000000003,4.2,4.3,A1,3.3,1464.4
4.933333333333334,7.4,3.6,A1,3.3,1484.1
4.266666666666667,6.3999999999999995,3.8,A1,3.3,1503.3
4.1162227602905554,3.3999999999999986,26.1,A1,3.7,1578.7
1.8159806295399517,1.5,27.9,A1,3.7,1598.3
2.9055690072639253,2.400000000000002,31.7,A1,3.7,1618.1
3.9951573849878947,3.3000000000000007,28.7,A1,3.7,1637.8
4.4794188861985464,3.6999999999999993,27.6,A1,3.7,1657.6
2.058111380145282,1.7000000000000028,28.4,A1,3.7,1677.3
4.842615012106542,4.0000000000000036,30.7,A1,3.7,1696.9
4.116222760290557,3.4000000000000004,12.0,A1,3.7,1716.8
3.147699757869249,2.5999999999999996,11.0,A1,3.7,1736.6
3.6319612590799033,3.0,10.6,A1,3.7,1756.3
2.4213075060532687,2.0,11.9,A1,3.7,1776.2
3.5108958837772404,2.9000000000000004,12.6,A1,3.7,1795.8
3.3898305084745752,2.799999999999999,11.8,A1,3.7,1815.8
3.5108958837772404,2.9000000000000004,11.7,A1,3.7,1835.5
3.9951573849878925,3.299999999999999,10.8,A1,3.7,1855.3
3.026634382566586,2.5,11.0,A1,3.7,1875.1
3.874092009685229,3.1999999999999993,10.8,A1,3.7,1894.9
2.6634382566585972,2.200000000000001,11.2,A1,3.7,1914.7
3.147699757869249,2.5999999999999996,11.9,A1,3.7,1934.5
3.2687651331719123,2.6999999999999993,11.8,A1,3.7,1954.1
4.358353510895884,3.5999999999999996,11.6,A1,3.15,1974.0
3.3898305084745775,2.8000000000000007,11.5,A1,3.15,1993.8
3.026634382566586,2.5,11.4,A1,3.15,2013.6
3.3898305084745752,2.799999999999999,11.3,A1,3.15,2033.5
3.6319612590799033,3.0,11.1,A1,3.15,2053.3
1.8159806295399517,1.5,12.4,A1,3.15,2072.9
3.147699757869251,2.6000000000000014,11.2,A1,3.15,2092.8
1.6949152542372887,1.4000000000000004,11.2,A1,3.15,2112.6
2.905569007263923,2.4000000000000004,10.4,A1,3.15,2132.4
3.7530266343825662,3.0999999999999996,10.5,A1,3.15,2152.2
2.300242130750606,1.9000000000000004,11.2,A1,3.15,2172.0
2.4213075060532687,2.0,11.0,A1,3.15,2191.9
3.026634382566586,2.5,10.4,A1,3.15,2211.8
3.268765133171914,2.700000000000001,11.2,A1,3.15,2231.5
2.78450363196126,2.3000000000000007,12.0,A1,3.15,2251.5
3.147699757869249,2.5999999999999996,12.0,A1,3.05,2271.2
2.4213075060532687,2.0,12.2,A1,3.05,2291.0
4.237288135593221,3.5,12.0,A1,3.05,2310.7
2.78450363196126,2.3000000000000007,13.1,A1,3.05,2330.7
3.2687651331719123,2.6999999999999993,12.9,A1,3.05,2350.4
2.784503631961258,2.299999999999999,12.8,A1,3.05,2370.2
3.026634382566586,2.5,12.7,A1,3.05,2390.1
2.542372881355932,2.0999999999999996,12.0,A1,3.05,2409.9
3.7530266343825662,3.0999999999999996,12.3,A1,3.05,2429.7
2.784503631961258,2.299999999999999,12.4,A1,3.05,2449.5
2.78450363196126,2.3000000000000007,11.7,A1,3.05,2469.3
2.905569007263923,2.4000000000000004,12.7,A1,3.05,2489.1
3.147699757869249,2.5999999999999996,12.4,A1,3.05,2508.8
2.300242130750606,1.9000000000000004,12.1,A1,3.05,2528.7
3.026634382566586,2.5,12.4,A1,3.05,2548.6
2.4213075060532687,2.0,12.5,A1,3.05,2568.4
2.905569007263923,2.4000000000000004,12.1,A1,3.05,2588.2
1.9370460048426146,1.5999999999999996,11.9,A1,3.05,2608.1
3.2687651331719123,2.6999999999999993,12.0,A1,3.05,2627.8
2.4213075060532687,2.0,12.8,A1,3.05,2647.6
2.905569007263923,2.4000000000000004,12.4,A1,3.05,2667.6
2.179176755447943,1.8000000000000007,12.6,A1,3.05,2687.4
2.1791767554479406,1.799999999999999,11.9,A1,3.05,2707.1
2.542372881355932,2.0999999999999996,11.6,A1,3.05,2727.0
1.8159806295399517,1.5,11.2,A1,3.05,2746.8
2.4213075060532687,2.0,11.1,A1,2.95,2766.6
2.905569007263921,2.3999999999999986,11.3,A1,2.95,2786.5
2.05811138014528,1.700000000000001,11.2,A1,2.95,2806.3
0.8474576271186433,0.6999999999999993,11.4,A1,2.95,2826.0
1.6949152542372887,1.4000000000000004,11.9,A1,2.95,2845.8
2.78450363196126,2.3000000000000007,11.0,A1,2.95,2865.7
2.3002421307506036,1.8999999999999986,11.3,A1,2.95,2885.5
2.6634382566585972,2.200000000000001,11.2,A1,2.95,2905.4
2.663438256658595,2.1999999999999993,10.8,A1,2.95,2925.3
3.7530266343825662,3.0999999999999996,10.6,A1,2.95,2945.0
2.905569007263923,2.4000000000000004,11.7,A1,2.95,2964.8
2.905569007263921,2.3999999999999986,10.8,A1,2.95,2984.6
2.6634382566585972,2.200000000000001,11.6,A1,2.95,3004.4
3.2687651331719123,2.6999999999999993,11.5,A1,2.95,3024.2
2.78450363196126,2.3000000000000007,11.6,A1,2.95,3044.1
2.78450363196126,2.3000000000000007,12.0,A1,2.95,3063.8
2.78450363196126,2.3000000000000007,11.6,A1,2.95,3083.8
2.542372881355932,2.0999999999999996,10.3,A1,2.95,3103.5
3.147699757869249,2.5999999999999996,10.1,A1,2.95,3123.3
2.4213075060532687,2.0,10.9,A1,2.95,3143.1
2.78450363196126,2.3000000000000007,10.7,A1,2.95,3162.9
2.542372881355932,2.0999999999999996,10.1,A1,2.95,3182.7
3.026634382566586,2.5,10.5,A1,2.95,3202.6
2.663438256658595,2.1999999999999993,10.5,A1,2.95,3222.3
2.78450363196126,2.3000000000000007,10.5,A1,2.95,3242.1
2.905569007263921,2.3999999999999986,10.8,A1,3.15,3262.1
2.905569007263923,2.4000000000000004,11.2,A1,3.15,3281.9
2.6634382566585972,2.200000000000001,11.2,A1,3.15,3301.7
2.663438256658595,2.1999999999999993,10.3,A1,3.15,3321.5
2.542372881355932,2.0999999999999996,12.0,A1,3.15,3341.4
2.0581113801452777,1.6999999999999993,9.8,A1,3.15,3361.1
1.8159806295399517,1.5,10.2,A1,3.15,3381.0
1.9370460048426146,1.5999999999999996,8.1,A1,3.15,3400.8
2.1791767554479406,1.799999999999999,7.4,A1,3.15,3420.6
2.905569007263923,2.4000000000000004,9.0,A1,3.15,3440.4
3.026634382566586,2.5,10.3,A1,3.15,3460.3
2.542372881355932,2.0999999999999996,9.6,A1,3.15,3480.1
2.542372881355932,2.0999999999999996,11.1,A1,3.15,3499.9
3.026634382566586,2.5,11.2,A1,3.15,3519.7
2.663438256658595,2.1999999999999993,10.9,A1,3.15,3539.5
2.542372881355934,2.1000000000000014,10.2,A1,3.15,3559.3
2.6634382566585972,2.200000000000001,11.1,A1,3.15,3579.1
2.542372881355934,2.1000000000000014,10.7,A1,3.15,3598.9
2.542372881355932,2.0999999999999996,10.5,A1,3.15,3618.7
2.4213075060532687,2.0,12.1,A1,3.15,3638.6
2.4213075060532687,2.0,10.7,A1,3.15,3658.4
2.905569007263921,2.3999999999999986,10.8,A1,3.15,3678.2
2.6634382566585972,2.200000000000001,10.1,A1,3.15,3698.1
2.542372881355932,2.0999999999999996,11.1,A1,3.15,3717.8
2.784503631961258,2.299999999999999,10.8,A1,3.15,3737.6
2.4213075060532687,2.0,10.4,A1,3.05,3757.4
2.4213075060532687,2.0,10.9,A1,3.05,3777.3
2.542372881355932,2.0999999999999996,12.0,A1,3.05,3797.1
2.542372881355932,2.0999999999999996,11.4,A1,3.05,3816.9
2.6634382566585972,2.200000000000001,10.2,A1,3.05,3836.8
2.4213075060532687,2.0,9.7,A1,3.05,3856.6
2.05811138014528,1.700000000000001,10.7,A1,3.05,3876.5
2.179176755447943,1.8000000000000007,10.7,A1,3.05,3896.3
2.0581113801452777,1.6999999999999993,9.9,A1,3.05,3916.2
2.1791767554479406,1.799999999999999,10.9,A1,3.05,3936.1
2.542372881355932,2.0999999999999996,9.8,A1,3.05,3955.8
2.0581113801452777,1.6999999999999993,10.0,A1,3.05,3975.7
2.300242130750606,1.9000000000000004,10.6,A1,3.05,3995.5
2.1791767554479406,1.799999999999999,10.4,A1,3.05,4015.4
2.300242130750606,1.9000000000000004,10.9,A1,3.05,4035.4
2.4213075060532687,2.0,9.2,A1,3.05,4055.1
1.8159806295399517,1.5,8.9,A1,3.05,4074.9
2.542372881355932,2.0999999999999996,9.4,A1,3.05,4094.8
1.8159806295399517,1.5,9.5,A1,3.05,4114.7
1.5738498789346256,1.3000000000000007,10.2,A1,3.05,4134.6
2.1791767554479406,1.799999999999999,9.8,A1,3.05,4154.4
1.9370460048426168,1.6000000000000014,9.2,A1,3.05,4174.2
1.6949152542372887,1.4000000000000004,9.2,A1,3.05,4194.0
2.4213075060532687,2.0,8.7,A1,3.05,4213.8
2.0581113801452777,1.6999999999999993,8.0,A1,3.05,4233.7
1.5738498789346256,1.3000000000000007,9.7,A1,3.05,4253.5
2.663438256658595,2.1999999999999993,10.3,A1,3.05,4273.3
2.4213075060532687,2.0,9.5,A1,3.05,4293.0
2.1791767554479406,1.799999999999999,9.8,A1,3.05,4312.9
2.05811138014528,1.700000000000001,9.1,A1,3.05,4332.7
2.663438256658595,2.1999999999999993,8.4,A1,3.05,4352.5
2.05811138014528,1.700000000000001,8.6,A1,3.05,4372.4
2.05811138014528,1.700000000000001,9.1,A1,3.05,4392.1
2.300242130750606,1.9000000000000004,10.0,A1,3.05,4411.9
2.179176755447943,1.8000000000000007,10.0,A1,3.05,4431.7
2.300242130750606,1.9000000000000004,10.2,A1,3.15,4451.6
2.6634382566585972,2.200000000000001,9.7,A1,3.15,4471.5
2.542372881355932,2.0999999999999996,9.1,A1,3.15,4491.3
1.9370460048426146,1.5999999999999996,9.1,A1,3.15,4511.1
2.300242130750606,1.9000000000000004,9.9,A1,3.15,4530.8
1.9370460048426146,1.5999999999999996,10.8,A1,3.25,4550.6
2.663438256658595,2.1999999999999993,9.5,A1,3.25,4570.6
1.6949152542372887,1.4000000000000004,9.7,A1,3.25,4590.4
2.4213075060532687,2.0,10.7,A1,3.25,4610.1
2.78450363196126,2.3000000000000007,10.0,A1,3.25,4629.9
2.4213075060532687,2.0,9.0,A1,3.4,4649.8
1.9370460048426146,1.5999999999999996,9.8,A1,3.4,4669.6
2.179176755447943,1.8000000000000007,10.0,A1,3.4,4689.4
1.5738498789346256,1.3000000000000007,10.6,A1,3.4,4709.3
2.4213075060532687,2.0,10.7,A1,3.4,4729.1
2.0581113801452777,1.6999999999999993,11.5,A1,3.2,4749.0
3.6319612590799033,3.0,10.2,A1,3.2,4768.8
2.300242130750606,1.9000000000000004,10.1,A1,3.2,4788.5
2.663438256658595,2.1999999999999993,10.5,A1,3.2,4808.3
2.663438256658595,2.1999999999999993,10.0,A1,3.2,4828.3
2.4213075060532687,2.0,10.4,A1,3.25,4848.1
2.542372881355932,2.0999999999999996,10.8,A1,3.25,4867.7
2.6634382566585972,2.200000000000001,10.6,A1,3.25,4887.7
2.78450363196126,2.3000000000000007,10.0,A1,3.25,4907.5
3.026634382566586,2.5,9.2,A1,3.25,4927.2
1.5738498789346256,1.3000000000000007,9.5,A1,3.1,4947.2
2.4213075060532687,2.0,9.4,A1,3.1,4967.0
-1.4906832298136647,-1.2000000000000002,7.8,A1,3.1,4986.8
2.9813664596273295,2.4000000000000004,4.6,A1,3.1,5006.7
2.484472049689441,2.0,3.5,A1,3.1,5026.5
2.7329192546583854,2.2,3.3,A1,3.1,5046.4
2.484472049689441,2.0,3.3,A1,3.1,5066.3
3.105590062111801,2.5,2.8,A1,3.1,5086.2
3.7267080745341614,3.0,2.7,A1,3.1,5106.1
2.981366459627329,2.4,3.1,A1,3.1,5125.7
2.2360248447204967,1.7999999999999998,3.0,A1,3.1,5145.6
1.6149068322981364,1.2999999999999998,3.0,A1,3.1,5165.4
0.6211180124223602,0.5,3.5,A1,3.1,5185.2
1.4906832298136647,1.2000000000000002,2.4,A1,3.1,5205.2
1.3664596273291927,1.1,2.8,A1,3.1,5225.0
